provider,pattern,metric,n,baseline_mean,pattern_mean,delta_mean,improvement_mean,positive_count,negative_count,zero_count,non_effective_rate
anthropic,branch_conditional,internal_coherence_error_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,branch_conditional,irp_monotonic_progress_rate,9,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035,0,3,6,0.6666666666666666
anthropic,branch_conditional,irp_oscillation_rate,9,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,3,0,6,0.6666666666666666
anthropic,branch_conditional,misinterpretation_rate,9,0.03333333333333334,0.0,-0.03333333333333334,0.03333333333333334,3,0,6,0.6666666666666666
anthropic,branch_conditional,rework_cost_tokens,9,76.66666666666667,0.0,-76.66666666666667,76.66666666666667,3,0,6,0.6666666666666666
anthropic,branch_conditional,self_contradiction_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,branch_conditional,stability_variance,9,0.00666666666666667,0.0,-0.00666666666666667,0.00666666666666667,3,0,6,0.6666666666666666
anthropic,branch_conditional,trace_completeness,9,1.0,1.0,0.0,0.0,0,0,9,1.0
anthropic,branch_conditional,update_consistency,9,1.0,1.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_branch,internal_coherence_error_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_branch,irp_monotonic_progress_rate,9,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035,0,3,6,0.6666666666666666
anthropic,conditional_branch,irp_oscillation_rate,9,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,3,0,6,0.6666666666666666
anthropic,conditional_branch,misinterpretation_rate,9,0.03333333333333334,0.0,-0.03333333333333334,0.03333333333333334,3,0,6,0.6666666666666666
anthropic,conditional_branch,rework_cost_tokens,9,76.66666666666667,0.0,-76.66666666666667,76.66666666666667,3,0,6,0.6666666666666666
anthropic,conditional_branch,self_contradiction_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_branch,stability_variance,9,0.00666666666666667,0.0,-0.00666666666666667,0.00666666666666667,3,0,6,0.6666666666666666
anthropic,conditional_branch,trace_completeness,9,1.0,1.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_branch,update_consistency,9,1.0,1.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_delta,internal_coherence_error_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_delta,irp_monotonic_progress_rate,9,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035,0,3,6,0.6666666666666666
anthropic,conditional_delta,irp_oscillation_rate,9,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,3,0,6,0.6666666666666666
anthropic,conditional_delta,misinterpretation_rate,9,0.03333333333333334,0.0,-0.03333333333333334,0.03333333333333334,3,0,6,0.6666666666666666
anthropic,conditional_delta,rework_cost_tokens,9,76.88888888888889,0.0,-76.88888888888889,76.88888888888889,3,0,6,0.6666666666666666
anthropic,conditional_delta,self_contradiction_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_delta,stability_variance,9,0.00666666666666667,0.0,-0.00666666666666667,0.00666666666666667,3,0,6,0.6666666666666666
anthropic,conditional_delta,trace_completeness,9,1.0,1.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_delta,update_consistency,9,1.0,1.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_hierarchical,internal_coherence_error_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_hierarchical,irp_monotonic_progress_rate,9,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035,0,3,6,0.6666666666666666
anthropic,conditional_hierarchical,irp_oscillation_rate,9,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,3,0,6,0.6666666666666666
anthropic,conditional_hierarchical,misinterpretation_rate,9,0.03333333333333334,0.0,-0.03333333333333334,0.03333333333333334,3,0,6,0.6666666666666666
anthropic,conditional_hierarchical,rework_cost_tokens,9,76.66666666666667,0.0,-76.66666666666667,76.66666666666667,3,0,6,0.6666666666666666
anthropic,conditional_hierarchical,self_contradiction_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_hierarchical,stability_variance,9,0.00666666666666667,0.0,-0.00666666666666667,0.00666666666666667,3,0,6,0.6666666666666666
anthropic,conditional_hierarchical,trace_completeness,9,1.0,1.0,0.0,0.0,0,0,9,1.0
anthropic,conditional_hierarchical,update_consistency,9,1.0,1.0,0.0,0.0,0,0,9,1.0
anthropic,delta_conditional,internal_coherence_error_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,delta_conditional,irp_monotonic_progress_rate,9,0.037037037037037035,0.037037037037037035,0.0,0.0,0,0,9,1.0
anthropic,delta_conditional,irp_oscillation_rate,9,0.041666666666666664,0.041666666666666664,0.0,0.0,0,0,9,1.0
anthropic,delta_conditional,misinterpretation_rate,9,0.03333333333333334,0.03333333333333334,0.0,0.0,0,0,9,1.0
anthropic,delta_conditional,rework_cost_tokens,9,76.77777777777777,77.33333333333333,0.5555555555555556,-0.5555555555555556,0,3,6,0.6666666666666666
anthropic,delta_conditional,self_contradiction_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,delta_conditional,stability_variance,9,0.00666666666666667,0.00666666666666667,0.0,0.0,0,0,9,1.0
anthropic,delta_conditional,trace_completeness,9,1.0,1.0,0.0,0.0,0,0,9,1.0
anthropic,delta_conditional,update_consistency,9,1.0,1.0,0.0,0.0,0,0,9,1.0
anthropic,delta_hierarchical,internal_coherence_error_rate,9,0.0,0.0,0.0,0.0,0,0,9,1.0
anthropic,delta_hierarchical,irp_monotonic_progress_rate,9,0.037037037037037035,0.037037037037037035,0.0,0.0,0,0,9,1.0
anthropic,delta_hierarchical,irp_oscillation_rate,9,0.041666666666666664,0.041666666666666664,0.0,0.0,0,0,9,1.0
