c_gross,c_net_output,c_net_total,coverage_gross_q20_c80,coverage_gross_q50_c50,coverage_gross_q80_c20,coverage_net_q20_c80,coverage_net_q50_c50,coverage_net_q80_c20,dataset,decision_gross_q20_c80,decision_gross_q50_c50,decision_gross_q80_c20,decision_net_q20_c80,decision_net_q50_c50,decision_net_q80_c20,disagree_gross_q20_c80,disagree_gross_q50_c50,disagree_gross_q80_c20,disagree_net_q20_c80,disagree_net_q50_c50,disagree_net_q80_c20,du_gross_q20_c80,du_gross_q50_c50,du_gross_q80_c20,du_net_q20_c80,du_net_q50_c50,du_net_q80_c20,oracle_sign_gross_q20_c80,oracle_sign_gross_q50_c50,oracle_sign_gross_q80_c20,oracle_sign_net_q20_c80,oracle_sign_net_q50_c50,oracle_sign_net_q80_c20,overhead_output,overhead_total,pattern,provider,q_improvement,rep,scenario_id,split_role,tau_gross_q20_c80,tau_gross_q50_c50,tau_gross_q80_c20,tau_net_q20_c80,tau_net_q50_c50,tau_net_q80_c20,temperature
-0.0,-12.0,-383.0,,,,,,,stageb,tie,tie,tie,prefer_pattern,prefer_pattern,tie,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.07096930521102782,0.03309192558841087,-0.004785454034206084,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,12.0,383.0,branch,anthropic,-0.0,1,S_CONTEXT_DRIFT_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
-0.0,-39.0,-454.0,,,,,,,stageb,tie,tie,tie,tie,tie,prefer_baseline,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.011443949760657499,-0.004111421568070582,-0.019666792896798662,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,39.0,454.0,branch,anthropic,-0.0,1,S_CONTEXT_DRIFT_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-0.0,-12.0,-383.0,,,,,,,stageb,tie,tie,tie,prefer_pattern,prefer_pattern,tie,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.07096930521102782,0.03309192558841087,-0.004785454034206084,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,12.0,383.0,branch,anthropic,-0.0,2,S_CONTEXT_DRIFT_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
-0.0,-11.0,-373.0,,,,,,,stageb,tie,tie,tie,prefer_pattern,prefer_pattern,tie,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.07317394800548599,0.03446982733494722,-0.004234293335591541,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,11.0,373.0,branch,anthropic,-0.0,2,S_CONTEXT_DRIFT_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-0.0,-12.0,-383.0,0,0,0,1,1,0,stageb,tie,tie,tie,prefer_pattern,prefer_pattern,tie,0,0,0,0,0,0,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.07096930521102782,0.03309192558841087,-0.004785454034206084,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,12.0,383.0,branch,anthropic,-0.0,3,S_CONTEXT_DRIFT_01,test,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
-0.0,-6.0,-345.0,0,0,0,1,1,0,stageb,tie,tie,tie,prefer_pattern,prefer_pattern,tie,0,0,0,0,0,0,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.08419716197777678,0.04135933606762897,-0.0014784898425188424,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,6.0,345.0,branch,anthropic,-0.0,3,S_CONTEXT_DRIFT_01,test,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-6.0,-58.0,-666.0,,,,,,,stageb,tie,tie,prefer_baseline,tie,prefer_baseline,prefer_baseline,,,,,,,0.026942711187582492,0.005575304323757538,-0.015792102540067417,-0.030444263334047546,-0.03029155475226123,-0.030138846170474923,prefer_pattern,prefer_pattern,prefer_baseline,prefer_baseline,prefer_baseline,prefer_baseline,52.0,660.0,branch,anthropic,-0.0,1,S_DRIFT_RETURN_RECOVERY_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
2.0,-37.0,-596.0,,,,,,,stageb,prefer_pattern,prefer_pattern,tie,tie,tie,prefer_baseline,,,,,,,0.045517916987690796,0.017184807948825227,-0.011148301090040339,0.01585323534957382,-0.0013556180749978823,-0.018564471499569583,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,39.0,598.0,branch,anthropic,-0.0,1,S_DRIFT_RETURN_RECOVERY_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-6.0,-58.0,-666.0,,,,,,,stageb,tie,tie,prefer_baseline,tie,prefer_baseline,prefer_baseline,,,,,,,0.026942711187582492,0.005575304323757538,-0.015792102540067417,-0.030444263334047546,-0.03029155475226123,-0.030138846170474923,prefer_pattern,prefer_pattern,prefer_baseline,prefer_baseline,prefer_baseline,prefer_baseline,52.0,660.0,branch,anthropic,-0.0,2,S_DRIFT_RETURN_RECOVERY_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
-0.0,-19.0,-545.0,,,,,,,stageb,tie,tie,tie,prefer_pattern,prefer_pattern,tie,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.055536805649820706,0.02344661336265642,-0.008643578924507862,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,19.0,545.0,branch,anthropic,-0.0,2,S_DRIFT_RETURN_RECOVERY_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-5.0,-55.0,-659.0,0,0,1,0,1,1,stageb,tie,tie,prefer_baseline,tie,prefer_baseline,prefer_baseline,0,0,0,0,0,0,0.02926461191259603,0.0070264922768909985,-0.01521162735881403,-0.023830334950673063,-0.02615784951265218,-0.028485364074631304,prefer_pattern,prefer_pattern,prefer_baseline,prefer_baseline,prefer_baseline,prefer_baseline,50.0,654.0,branch,anthropic,-0.0,3,S_DRIFT_RETURN_RECOVERY_01,test,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
234.0,211.0,-295.0,1,1,1,1,1,1,stageb,prefer_pattern,prefer_pattern,prefer_pattern,prefer_pattern,prefer_pattern,prefer_pattern,0,0,1,0,0,1,0.6902470147770642,0.6189807370413698,0.5477144593056754,0.6686527779614301,0.6054843390315985,0.5423159001017669,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,23.0,529.0,branch,anthropic,0.1,3,S_DRIFT_RETURN_RECOVERY_01,test,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-0.0,-39.0,-361.0,,,,,,,stageb,tie,tie,tie,tie,tie,prefer_baseline,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.011443949760657499,-0.004111421568070582,-0.019666792896798662,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_baseline,prefer_baseline,39.0,361.0,branch,anthropic,-0.0,1,S_STABLE_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
-0.0,-34.0,-342.0,,,,,,,stageb,tie,tie,tie,tie,tie,prefer_baseline,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.022467163732948298,0.002778087164611167,-0.016910989403725964,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,34.0,342.0,branch,anthropic,-0.0,1,S_STABLE_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-0.0,-39.0,-361.0,,,,,,,stageb,tie,tie,tie,tie,tie,prefer_baseline,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.011443949760657499,-0.004111421568070582,-0.019666792896798662,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_baseline,prefer_baseline,39.0,361.0,branch,anthropic,-0.0,2,S_STABLE_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
-0.0,-12.0,-261.0,,,,,,,stageb,tie,tie,tie,prefer_pattern,prefer_pattern,tie,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.07096930521102782,0.03309192558841087,-0.004785454034206084,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,12.0,261.0,branch,anthropic,-0.0,2,S_STABLE_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-0.0,-39.0,-361.0,0,0,0,0,0,1,stageb,tie,tie,tie,tie,tie,prefer_baseline,0,0,0,0,0,0,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.011443949760657499,-0.004111421568070582,-0.019666792896798662,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_baseline,prefer_baseline,39.0,361.0,branch,anthropic,-0.0,3,S_STABLE_01,test,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
-0.0,-14.0,-275.0,0,0,0,1,1,0,stageb,tie,tie,tie,prefer_pattern,prefer_pattern,tie,0,0,0,0,0,0,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.0665600196221115,0.030336122095338165,-0.005887775431435163,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,14.0,275.0,branch,anthropic,-0.0,3,S_STABLE_01,test,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-0.0,-36.0,-422.0,,,,,,,stageb,tie,tie,tie,tie,tie,prefer_baseline,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.01805787814403198,2.2283671538466873e-05,-0.018013310800955043,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,36.0,422.0,conditional,anthropic,-0.0,1,S_CONTEXT_DRIFT_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
-0.0,-20.0,-337.0,,,,,,,stageb,tie,tie,tie,prefer_pattern,prefer_pattern,tie,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.05333216285536254,0.022068711616120066,-0.009194739623122403,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,20.0,337.0,conditional,anthropic,-0.0,1,S_CONTEXT_DRIFT_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-0.0,-36.0,-422.0,,,,,,,stageb,tie,tie,tie,tie,tie,prefer_baseline,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.01805787814403198,2.2283671538466873e-05,-0.018013310800955043,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,36.0,422.0,conditional,anthropic,-0.0,2,S_CONTEXT_DRIFT_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
-0.0,-49.0,-480.0,,,,,,,stageb,tie,tie,tie,tie,prefer_baseline,prefer_baseline,,,,,,,0.04087411553766372,0.014282432042558305,-0.012309251452547108,-0.010602478183924104,-0.017890439033434083,-0.025178399882944062,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,49.0,480.0,conditional,anthropic,-0.0,2,S_CONTEXT_DRIFT_01,calibration,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
-0.0,-36.0,-422.0,0,0,0,0,0,1,stageb,tie,tie,tie,tie,tie,prefer_baseline,0,0,0,0,0,0,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.01805787814403198,2.2283671538466873e-05,-0.018013310800955043,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,36.0,422.0,conditional,anthropic,-0.0,3,S_CONTEXT_DRIFT_01,test,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.0
-0.0,-35.0,-429.0,0,0,0,0,0,1,stageb,tie,tie,tie,tie,tie,prefer_baseline,0,0,0,0,0,0,0.04087411553766372,0.014282432042558305,-0.012309251452547108,0.02026252093849014,0.001400185418074816,-0.017462150102340503,prefer_pattern,prefer_pattern,prefer_baseline,prefer_pattern,prefer_pattern,prefer_baseline,35.0,429.0,conditional,anthropic,-0.0,3,S_CONTEXT_DRIFT_01,test,0.04087411553766372,0.014282432042558305,0.012309251452547108,0.033490377705239105,0.013774560731055808,0.011840310976472191,0.3
