dataset,profile,cost_mode,segment_type,segment_value,n_test,tie_count,tie_rate,coverage_count,coverage_rate,disagree_count,disagree_rate_all,disagree_rate_covered
combo,q80_c20,gross,overall,all,69,36,0.5217391304347826,33,0.4782608695652174,2,0.028985507246376812,0.06060606060606061
combo,q80_c20,net,overall,all,69,20,0.2898550724637681,49,0.7101449275362319,2,0.028985507246376812,0.04081632653061224
combo,q80_c20,delta_net_minus_gross,overall,all,69,-16,-0.23188405797101447,16,0.23188405797101452,0,0.0,-0.019789734075448366
combo,q50_c50,gross,overall,all,69,36,0.5217391304347826,33,0.4782608695652174,2,0.028985507246376812,0.06060606060606061
combo,q50_c50,net,overall,all,69,17,0.2463768115942029,52,0.7536231884057971,2,0.028985507246376812,0.038461538461538464
combo,q50_c50,delta_net_minus_gross,overall,all,69,-19,-0.2753623188405797,19,0.2753623188405797,0,0.0,-0.022144522144522144
combo,q20_c80,gross,overall,all,69,25,0.36231884057971014,44,0.6376811594202898,5,0.07246376811594203,0.11363636363636363
combo,q20_c80,net,overall,all,69,17,0.2463768115942029,52,0.7536231884057971,3,0.043478260869565216,0.057692307692307696
combo,q20_c80,delta_net_minus_gross,overall,all,69,-8,-0.11594202898550723,8,0.11594202898550732,-2,-0.028985507246376815,-0.05594405594405594
combo,q80_c20,gross,provider,anthropic,24,16,0.6666666666666666,8,0.3333333333333333,0,0.0,0.0
combo,q80_c20,net,provider,anthropic,24,2,0.08333333333333333,22,0.9166666666666666,0,0.0,0.0
combo,q80_c20,delta_net_minus_gross,provider,anthropic,24,-14,-0.5833333333333333,14,0.5833333333333333,0,0.0,0.0
combo,q50_c50,gross,provider,anthropic,24,16,0.6666666666666666,8,0.3333333333333333,0,0.0,0.0
combo,q50_c50,net,provider,anthropic,24,3,0.125,21,0.875,0,0.0,0.0
combo,q50_c50,delta_net_minus_gross,provider,anthropic,24,-13,-0.5416666666666666,13,0.5416666666666667,0,0.0,0.0
combo,q20_c80,gross,provider,anthropic,24,16,0.6666666666666666,8,0.3333333333333333,0,0.0,0.0
combo,q20_c80,net,provider,anthropic,24,7,0.2916666666666667,17,0.7083333333333334,0,0.0,0.0
combo,q20_c80,delta_net_minus_gross,provider,anthropic,24,-9,-0.37499999999999994,9,0.37500000000000006,0,0.0,0.0
combo,q80_c20,gross,provider,gemini,21,11,0.5238095238095238,10,0.47619047619047616,2,0.09523809523809523,0.2
combo,q80_c20,net,provider,gemini,21,5,0.23809523809523808,16,0.7619047619047619,2,0.09523809523809523,0.125
combo,q80_c20,delta_net_minus_gross,provider,gemini,21,-6,-0.28571428571428575,6,0.2857142857142857,0,0.0,-0.07500000000000001
combo,q50_c50,gross,provider,gemini,21,11,0.5238095238095238,10,0.47619047619047616,2,0.09523809523809523,0.2
combo,q50_c50,net,provider,gemini,21,5,0.23809523809523808,16,0.7619047619047619,2,0.09523809523809523,0.125
combo,q50_c50,delta_net_minus_gross,provider,gemini,21,-6,-0.28571428571428575,6,0.2857142857142857,0,0.0,-0.07500000000000001
combo,q20_c80,gross,provider,gemini,21,7,0.3333333333333333,14,0.6666666666666666,5,0.23809523809523808,0.35714285714285715
combo,q20_c80,net,provider,gemini,21,4,0.19047619047619047,17,0.8095238095238095,3,0.14285714285714285,0.17647058823529413
combo,q20_c80,delta_net_minus_gross,provider,gemini,21,-3,-0.14285714285714285,3,0.1428571428571429,-2,-0.09523809523809523,-0.18067226890756302
combo,q80_c20,gross,provider,openai,24,9,0.375,15,0.625,0,0.0,0.0
combo,q80_c20,net,provider,openai,24,13,0.5416666666666666,11,0.4583333333333333,0,0.0,0.0
combo,q80_c20,delta_net_minus_gross,provider,openai,24,4,0.16666666666666663,-4,-0.16666666666666669,0,0.0,0.0
combo,q50_c50,gross,provider,openai,24,9,0.375,15,0.625,0,0.0,0.0
combo,q50_c50,net,provider,openai,24,9,0.375,15,0.625,0,0.0,0.0
combo,q50_c50,delta_net_minus_gross,provider,openai,24,0,0.0,0,0.0,0,0.0,0.0
combo,q20_c80,gross,provider,openai,24,2,0.08333333333333333,22,0.9166666666666666,0,0.0,0.0
combo,q20_c80,net,provider,openai,24,6,0.25,18,0.75,0,0.0,0.0
combo,q20_c80,delta_net_minus_gross,provider,openai,24,4,0.16666666666666669,-4,-0.16666666666666663,0,0.0,0.0
combo,q80_c20,gross,temperature,0.0,69,36,0.5217391304347826,33,0.4782608695652174,2,0.028985507246376812,0.06060606060606061
combo,q80_c20,net,temperature,0.0,69,20,0.2898550724637681,49,0.7101449275362319,2,0.028985507246376812,0.04081632653061224
combo,q80_c20,delta_net_minus_gross,temperature,0.0,69,-16,-0.23188405797101447,16,0.23188405797101452,0,0.0,-0.019789734075448366
combo,q50_c50,gross,temperature,0.0,69,36,0.5217391304347826,33,0.4782608695652174,2,0.028985507246376812,0.06060606060606061
combo,q50_c50,net,temperature,0.0,69,17,0.2463768115942029,52,0.7536231884057971,2,0.028985507246376812,0.038461538461538464
combo,q50_c50,delta_net_minus_gross,temperature,0.0,69,-19,-0.2753623188405797,19,0.2753623188405797,0,0.0,-0.022144522144522144
combo,q20_c80,gross,temperature,0.0,69,25,0.36231884057971014,44,0.6376811594202898,5,0.07246376811594203,0.11363636363636363
combo,q20_c80,net,temperature,0.0,69,17,0.2463768115942029,52,0.7536231884057971,3,0.043478260869565216,0.057692307692307696
combo,q20_c80,delta_net_minus_gross,temperature,0.0,69,-8,-0.11594202898550723,8,0.11594202898550732,-2,-0.028985507246376815,-0.05594405594405594
combo,q80_c20,gross,pattern,branch_conditional,8,4,0.5,4,0.5,0,0.0,0.0
combo,q80_c20,net,pattern,branch_conditional,8,2,0.25,6,0.75,0,0.0,0.0
combo,q80_c20,delta_net_minus_gross,pattern,branch_conditional,8,-2,-0.25,2,0.25,0,0.0,0.0
combo,q50_c50,gross,pattern,branch_conditional,8,4,0.5,4,0.5,0,0.0,0.0
combo,q50_c50,net,pattern,branch_conditional,8,1,0.125,7,0.875,0,0.0,0.0
combo,q50_c50,delta_net_minus_gross,pattern,branch_conditional,8,-3,-0.375,3,0.375,0,0.0,0.0
combo,q20_c80,gross,pattern,branch_conditional,8,3,0.375,5,0.625,0,0.0,0.0
combo,q20_c80,net,pattern,branch_conditional,8,0,0.0,8,1.0,0,0.0,0.0
combo,q20_c80,delta_net_minus_gross,pattern,branch_conditional,8,-3,-0.375,3,0.375,0,0.0,0.0
combo,q80_c20,gross,pattern,conditional_branch,9,5,0.5555555555555556,4,0.4444444444444444,0,0.0,0.0
